number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_max_depth,params_max_iter,params_min_samples_leaf,state,alpha
16,0.016227765872794512,2024-10-26 15:30:43.372610,2024-10-26 15:30:43.476048,0 days 00:00:00.103438,0.31746836678117163,0.04822866395767396,15,290,35,COMPLETE,0.4
17,0.016227765872794512,2024-10-26 15:30:43.476217,2024-10-26 15:30:43.593779,0 days 00:00:00.117562,0.5972990940421621,0.010653816460304793,17,572,13,COMPLETE,0.4
18,0.016227765872794512,2024-10-26 15:30:43.593935,2024-10-26 15:30:43.693306,0 days 00:00:00.099371,0.9938697731451155,0.023184669029966343,9,105,29,COMPLETE,0.4
19,0.016227765872794512,2024-10-26 15:30:43.693610,2024-10-26 15:30:43.795431,0 days 00:00:00.101821,0.1751576086994406,0.01602826379903407,12,817,21,COMPLETE,0.4
0,0.003941288738801362,2024-10-26 15:30:43.893258,2024-10-26 15:30:49.287876,0 days 00:00:05.394618,0.6345081062124444,0.058565090536093184,20,291,7,COMPLETE,0.5
1,0.004036089037512417,2024-10-26 15:30:49.288036,2024-10-26 15:30:56.361024,0 days 00:00:07.072988,0.3877513384719362,0.061917193536610404,16,848,4,COMPLETE,0.5
2,0.00395975253477341,2024-10-26 15:30:56.361187,2024-10-26 15:31:00.134984,0 days 00:00:03.773797,0.9706259880686205,0.08996575479078367,11,719,15,COMPLETE,0.5
3,0.004026622151086487,2024-10-26 15:31:00.135163,2024-10-26 15:31:09.646697,0 days 00:00:09.511534,0.012612995341116928,0.012656393105285222,14,367,6,COMPLETE,0.5
4,0.003966558117634084,2024-10-26 15:31:09.646865,2024-10-26 15:31:16.702556,0 days 00:00:07.055691,0.29922627898568555,0.04483467716760799,10,601,17,COMPLETE,0.5
5,0.004250555211207779,2024-10-26 15:31:16.702712,2024-10-26 15:31:18.818446,0 days 00:00:02.115734,0.8091129431198582,0.05276431928341596,3,338,37,PRUNED,0.5
