number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,alpha
2,0.0038580112490293797,2024-10-16 22:01:15.297243,2024-10-16 22:01:17.100506,0 days 00:00:01.803263,0.9324658758101396,0.040884450676425384,5,69,1.8079666849998042,0.5756930030762261,352,213,0.6192079602402086,0.9986943655916537,0.9508444503862088,4,COMPLETE,0.4
3,0.003867734141952086,2024-10-16 22:01:17.100777,2024-10-16 22:01:19.348316,0 days 00:00:02.247539,0.9669253078499769,0.09219864399720203,12,48,8.68464472150474,0.4590283581957817,213,51,0.34816037084784224,0.4080169508841661,0.6885838785050447,9,COMPLETE,0.4
4,0.003815482253122517,2024-10-16 22:01:19.348629,2024-10-16 22:01:24.926491,0 days 00:00:05.577862,0.6571574342720659,0.0382811388290934,19,98,8.469391652857789,0.8043688981762996,812,294,0.85001286050786,0.26999571589421123,0.5377639101584022,2,COMPLETE,0.4
5,0.0037875534279621526,2024-10-16 22:01:24.926721,2024-10-16 22:01:29.009158,0 days 00:00:04.082437,0.7205758830044617,0.036211985169630215,11,83,6.421222141796651,0.9493315550627629,757,28,0.47293329494464087,0.18665792957586247,0.9064969811579033,3,COMPLETE,0.4
6,0.003874761171325691,2024-10-16 22:01:29.009526,2024-10-16 22:01:36.377488,0 days 00:00:07.367962,0.5981472133362894,0.025189503879870092,11,28,0.6272211443367722,0.7120296055823767,353,208,0.00995301502264001,0.8675659656501273,0.6148211307502416,1,PRUNED,0.4
7,0.004115679308912494,2024-10-16 22:01:36.377686,2024-10-16 22:01:37.054904,0 days 00:00:00.677218,0.9229493605735013,0.09545043381506572,3,30,7.559556131057506,0.2419792013114459,212,26,0.40840652858043835,0.5720270591759566,0.7772990996916027,2,PRUNED,0.4
8,0.004201858777754809,2024-10-16 22:01:37.055418,2024-10-16 22:01:38.494017,0 days 00:00:01.438599,0.8509961090886085,0.012364870150737091,3,45,0.5443389608427769,0.09019967324999001,664,264,0.6305794280594244,0.11299862020783324,0.5297901815569452,9,PRUNED,0.4
9,0.0038662582954348775,2024-10-16 22:01:38.494201,2024-10-16 22:01:42.735688,0 days 00:00:04.241487,0.7554376918714121,0.094918078235115,18,57,5.855612827889802,0.962942007424074,736,221,0.5288996328896491,0.031459898467570246,0.7732338293615064,7,PRUNED,0.4
10,0.0038527572552357523,2024-10-16 22:01:42.735894,2024-10-16 22:01:50.541386,0 days 00:00:07.805492,0.6853644186876979,0.021312928935132095,15,92,3.688264717441687,0.98023543693054,996,110,0.907177421980912,0.5556835974456482,0.9964406649214649,4,COMPLETE,0.4
11,0.0037824355974005225,2024-10-16 22:01:50.541637,2024-10-16 22:01:54.929834,0 days 00:00:04.388197,0.6528266095537623,0.03044300892722343,14,100,9.892752566229454,0.7949093540584227,559,125,0.9956846972450254,0.3166884819983353,0.5015610644090343,2,COMPLETE,0.4
12,0.003830407822054936,2024-10-16 22:01:54.930068,2024-10-16 22:02:02.278277,0 days 00:00:07.348209,0.6696262582891896,0.01587202135536925,14,80,9.753187120793068,0.8192301270881138,520,110,0.7392838379924251,0.28804476146954716,0.843614449325413,3,COMPLETE,0.4
13,0.0038354890162636394,2024-10-16 22:02:02.278514,2024-10-16 22:02:07.187702,0 days 00:00:04.909188,0.5036502729338693,0.02925211261948054,9,83,4.257312789770638,0.7791371064016074,552,92,0.9865185521048181,0.2813066927538535,0.8658135511532722,1,COMPLETE,0.4
14,0.0038196291562697885,2024-10-16 22:02:07.187935,2024-10-16 22:02:10.646994,0 days 00:00:03.459059,0.7913657057251824,0.05738007045459993,16,100,5.6623254810757,0.8924597344308739,570,147,0.21193593821377743,0.43843142774205784,0.5882736460582179,6,COMPLETE,0.4
15,0.0038417204370231996,2024-10-16 22:02:10.647194,2024-10-16 22:02:15.410214,0 days 00:00:04.763020,0.6089646478841316,0.01979524976099542,9,69,9.685010689970392,0.6662592234946725,410,67,0.7434142220490874,0.19646064381218345,0.7106632930504326,3,PRUNED,0.4
16,0.0038562179119688506,2024-10-16 22:02:15.410371,2024-10-16 22:02:23.207314,0 days 00:00:07.796943,0.7144971803585463,0.060296288330715236,13,81,3.1031179488762426,0.4177933103855803,932,157,0.4870563282885403,0.37419590673635417,0.9314660800561516,5,PRUNED,0.4
17,0.0037968732028422283,2024-10-16 22:02:23.207467,2024-10-16 22:02:26.828551,0 days 00:00:03.621084,0.8468435462318578,0.03271931403097839,7,67,6.145946257129315,0.88812087261749,640,29,0.7559728650679786,0.6876575037360884,0.8142668066093536,2,COMPLETE,0.4
18,0.003838478380665376,2024-10-16 22:02:26.828887,2024-10-16 22:02:30.755470,0 days 00:00:03.926583,0.6131644508328993,0.06765960228378579,16,90,5.003409948063139,0.6685068858082241,445,134,0.5689611911579113,0.19386611893556882,0.5896594918777537,3,PRUNED,0.4
