number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state,alpha
2,9.525879014737889,2024-10-12 21:38:55.532118,2024-10-12 21:38:58.757304,0 days 00:00:03.225186,0.583181723217853,0.04714944398090775,11,25,495,54,0.2528768764227265,0.5533082544301696,0.5657182545494448,COMPLETE,0.5
3,8.680442937490266,2024-10-12 21:38:58.757482,2024-10-12 21:39:07.146769,0 days 00:00:08.389287,0.9631083763154589,0.022197809757555264,19,52,666,131,0.6585888670266321,0.252349975246962,0.5182976917663735,COMPLETE,0.5
4,12.739235944267982,2024-10-12 21:39:07.147425,2024-10-12 21:39:07.596886,0 days 00:00:00.449461,0.5037318276278584,0.013850766936273086,4,38,209,120,0.5387343047972318,0.042854638581907745,0.5307374156365638,COMPLETE,0.5
5,8.889739750236657,2024-10-12 21:39:07.597059,2024-10-12 21:39:16.385478,0 days 00:00:08.788419,0.9906664444832785,0.01904593659877407,14,49,960,104,0.061090235106835755,0.6267266517987158,0.7438299242252224,COMPLETE,0.5
6,16.16130387227615,2024-10-12 21:39:16.385665,2024-10-12 21:39:17.640582,0 days 00:00:01.254917,0.7343507479424142,0.014917637729122404,16,96,112,228,0.5926077605919644,0.4926984052133566,0.6935393152881234,PRUNED,0.5
7,9.961731625292039,2024-10-12 21:39:17.640707,2024-10-12 21:39:21.082758,0 days 00:00:03.442051,0.71625774751398,0.028914614324416187,8,51,871,29,0.7684828736242941,0.05396040241084932,0.9956008150352473,PRUNED,0.5
8,11.048975543591906,2024-10-12 21:39:21.082881,2024-10-12 21:39:22.662903,0 days 00:00:01.580022,0.7894056066114377,0.021269691222360464,4,52,726,33,0.6137808184052899,0.7784623653219944,0.9531035032672186,PRUNED,0.5
9,10.775073088995434,2024-10-12 21:39:22.663025,2024-10-12 21:39:23.096803,0 days 00:00:00.433778,0.8054998027549398,0.04965562476499616,5,47,134,40,0.7080616645956297,0.055711585459787494,0.768027321166304,PRUNED,0.5
10,8.137445175118105,2024-10-12 21:39:23.096922,2024-10-12 21:39:33.191642,0 days 00:00:10.094720,0.9849696769848663,0.03864440988496602,19,6,462,193,0.969228381019205,0.29338077646594085,0.6048395646586817,COMPLETE,0.5
11,7.9786682112879905,2024-10-12 21:39:33.191817,2024-10-12 21:39:43.184636,0 days 00:00:09.992819,0.9991054525782765,0.03717200837417581,20,5,439,200,0.998752701741042,0.27922538453284984,0.5911316467954698,COMPLETE,0.5
