number,value,datetime_start,datetime_complete,duration,params_alpha_1,params_alpha_2,params_colsample_bytree,params_lambda_1,params_lambda_2,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,quantile
2,0.004831426798754439,2024-10-17 23:44:54.702731,2024-10-17 23:44:57.302968,0 days 00:00:02.600237,0.02557915419554925,0.0010684646266668598,0.6829711978653021,3.45851333901772e-05,3.035913428767378e-06,0.015390362037526608,4,49,1.0656688423882128,0.40501275339052123,826,52,0.6034352387079495,0.6311251810743402,0.6677861864837601,1,COMPLETE,0.6
3,0.005037608436469078,2024-10-17 23:44:57.303389,2024-10-17 23:44:59.677606,0 days 00:00:02.374217,0.04431147742677922,0.0005203390257914896,0.9752986436747832,0.00033208935180549813,0.0001764931662714917,0.012360846069007619,11,47,6.589664770712237,0.531155673118046,164,71,0.7335871084004284,0.33366842435008315,0.5263386068626874,6,COMPLETE,0.6
4,0.0038149765274525555,2024-10-17 23:44:59.677890,2024-10-17 23:45:14.557388,0 days 00:00:14.879498,0.005524153471356503,0.056377526987816076,0.9286413401192846,0.0005965664234655023,1.1719849319045715e-05,0.019590762235484047,18,24,5.550605460321694,0.3773287358952373,378,249,0.8174440506991867,0.4047352867750793,0.9604464200109717,5,COMPLETE,0.6
5,0.004145174023003938,2024-10-17 23:45:14.557800,2024-10-17 23:45:17.257508,0 days 00:00:02.699708,0.002456215789798086,0.0031558237510929993,0.7316823746970845,0.09682740648208696,0.000740095640092718,0.08387378612513151,19,61,8.194672200462914,0.5276973375220381,167,90,0.3712590340864622,0.5200814482114726,0.7015132227095661,4,COMPLETE,0.6
6,0.004428308000395108,2024-10-17 23:45:17.257801,2024-10-17 23:45:20.442183,0 days 00:00:03.184382,0.022477435420689727,0.006954541575243111,0.6615729753620616,0.0020944114401697574,7.529814475197202e-05,0.025520864465214517,12,53,5.856714215272571,0.4783968501601016,358,35,0.3103210507412004,0.45774813788811697,0.9144568671815752,6,COMPLETE,0.6
7,0.004738738809315118,2024-10-17 23:45:20.442523,2024-10-17 23:45:23.595663,0 days 00:00:03.153140,0.003230707184032903,0.003882578802667135,0.6132023612759236,0.000309525507910035,1.203280198546312e-05,0.016002721079331404,5,83,3.4805477513008327,0.9226878818399669,706,58,0.1668265965249014,0.9378508995505788,0.8683075903132809,1,COMPLETE,0.6
8,0.0040471597614529205,2024-10-17 23:45:23.595972,2024-10-17 23:45:42.936519,0 days 00:00:19.340547,0.002143535866944024,0.0003023060848374855,0.5469602409454996,4.946302515340688e-06,2.2152049394644906e-06,0.011784822749016903,13,17,6.610648492610112,0.46713287309002127,596,235,0.2354335020912165,0.4901531701829748,0.574583383136311,2,COMPLETE,0.6
9,0.004659866984772465,2024-10-17 23:45:42.936827,2024-10-17 23:45:47.288942,0 days 00:00:04.352115,0.007656079055301978,0.0006167577302961128,0.8709783404399549,0.013218634723215139,0.03851651858121391,0.028945541080600982,5,20,4.86417560234348,0.7967147739447372,906,194,0.9264810480169126,0.3392881826525457,0.8053155845417401,8,COMPLETE,0.6
10,0.0035609120533908025,2024-10-17 23:45:47.289245,2024-10-17 23:46:13.141502,0 days 00:00:25.852257,8.229595001605174e-05,1.0067199657900193e-05,0.8219284951861565,1.1672052378042265e-06,0.0016084338270880008,0.04102847393003269,20,6,9.246371389039002,0.012293734279843205,414,295,0.0038353612577887164,0.04989389923148024,0.9981746503951616,10,COMPLETE,0.6
11,0.0034741002271573575,2024-10-17 23:46:13.142066,2024-10-17 23:46:38.505492,0 days 00:00:25.363426,9.031686991360527e-05,6.583010475624902e-06,0.8379256973039749,1.656549076911953e-06,0.0028628710110579114,0.04577698261268566,20,5,9.342357926308363,0.00451653881081513,405,294,0.03257246432736827,0.034418386145479485,0.9884979776427176,10,COMPLETE,0.6
12,0.003551337091525588,2024-10-17 23:46:38.505800,2024-10-17 23:47:07.737789,0 days 00:00:29.231989,4.194433484794361e-05,4.885160050850935e-06,0.8344119645946965,1.1128571509441376e-06,0.0026636347539007667,0.0478122461791181,16,5,9.955413827953212,0.08057045304662454,506,294,0.014735038726044331,0.001491719098980604,0.8310427204912663,10,COMPLETE,0.6
13,0.003501487302440823,2024-10-17 23:47:07.738109,2024-10-17 23:47:41.572653,0 days 00:00:33.834544,1.1840931042157715e-06,1.35488111236136e-06,0.8037915725355277,1.4071163802632777e-05,0.004479789887253132,0.057234650475032976,16,7,9.588523783207764,0.05035577048748447,568,290,0.021813791625893284,0.0029951290414084175,0.8186751730802604,10,COMPLETE,0.6
14,0.0036355391007926725,2024-10-17 23:47:41.572962,2024-10-17 23:48:02.671031,0 days 00:00:21.098069,1.3525484770008328e-06,1.4197092016305088e-06,0.7810218020711579,1.842442284605342e-05,0.007957025149182487,0.059375098521442814,16,33,8.311143577635741,0.17996372211052877,634,248,0.1365680981756388,0.1557575571112112,0.7741358603122277,8,COMPLETE,0.6
15,0.003677915899192201,2024-10-17 23:48:02.671333,2024-10-17 23:48:24.946241,0 days 00:00:22.274908,1.126706514553434e-06,3.829509079789198e-05,0.7998621610095402,5.1665695478881266e-05,0.08957613445282182,0.05497521825648519,17,38,8.160920350230288,0.2117654595717515,739,195,0.10734830621326266,0.18133626996043628,0.905513825628466,8,COMPLETE,0.6
16,0.0038321899501659296,2024-10-17 23:48:24.946602,2024-10-17 23:48:40.340944,0 days 00:00:15.394342,0.00044236285668627576,5.368893973631473e-05,0.9907006465677841,1.2138024129189154e-05,0.007027623839543177,0.0663742919625904,14,93,7.361570203663814,0.0049055374783460864,991,131,0.25139744768348893,0.16384001461795322,0.7073690465486793,9,COMPLETE,0.6
17,0.00417986095394401,2024-10-17 23:48:40.341334,2024-10-17 23:48:45.968706,0 days 00:00:05.627372,6.691156736940266e-06,1.521442989568791e-06,0.8837611163743713,3.4546285009663638e-06,0.0002853761931001842,0.03599737072713972,9,13,9.876719544983748,0.12739138123162191,297,271,0.5815229779852588,0.6864983421973723,0.6234191655167121,9,COMPLETE,0.6
18,0.004002096464372293,2024-10-17 23:48:45.969007,2024-10-17 23:48:51.031546,0 days 00:00:05.062539,0.0002930598026326833,8.75191677749305e-06,0.7116514166230821,0.00010008498924232465,0.006963097121357392,0.09728944213895994,20,36,8.885993196798937,0.6822788843849368,509,207,0.06464843959642416,0.1067851392142111,0.8581951504925084,10,COMPLETE,0.6
19,0.0036478502801611215,2024-10-17 23:48:51.031979,2024-10-17 23:49:20.434928,0 days 00:00:29.402949,7.785529063286825e-06,5.972097899445424e-05,0.5119852730296142,4.609058673654004e-06,0.0017005416183366458,0.07046816714715762,15,12,2.9312400756422554,0.28774133290396003,680,222,0.19143223514002575,0.24145857781700938,0.7568264097587989,7,COMPLETE,0.6
