number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,alpha
3,0.003530148613322605,2024-10-26 15:54:04.418733,2024-10-26 15:54:11.099666,0 days 00:00:06.680933,0.4736054348313407,0.014192314143194558,6,827,3.313394868972329,1.5723545607252523,0.9192589569840685,COMPLETE,0.3
4,0.0037792385583062947,2024-10-26 15:54:11.099835,2024-10-26 15:54:16.381856,0 days 00:00:05.282021,0.2504841453890549,0.06310475205261835,9,576,5.304241629767455,0.874299096577736,0.8444018024193771,COMPLETE,0.3
5,0.004412300858961044,2024-10-26 15:54:16.382039,2024-10-26 15:54:25.080425,0 days 00:00:08.698386,0.6699274706408939,0.003082180192966568,9,960,2.4945019489974913,0.46331066727648706,0.4143060712924803,PRUNED,0.3
6,0.003980339094988102,2024-10-26 15:54:25.080670,2024-10-26 15:54:27.774406,0 days 00:00:02.693736,0.28309549608984613,0.04151526937481996,6,419,4.54897889978196,1.9461625195388113,0.3479668569290266,PRUNED,0.3
7,0.003878218555754821,2024-10-26 15:54:27.774526,2024-10-26 15:54:32.250676,0 days 00:00:04.476150,0.28017006113603343,0.08268783864887716,4,798,0.9083178377778867,7.184408192174613,0.4427288994278893,PRUNED,0.3
8,0.003850732388625388,2024-10-26 15:54:32.250797,2024-10-26 15:54:34.504275,0 days 00:00:02.253478,0.5688506165026426,0.07357311495016564,6,295,9.832993040749884,4.589602924939246,0.8337665776566098,PRUNED,0.3
9,0.003282218313325941,2024-10-26 15:54:34.504411,2024-10-26 15:54:36.018580,0 days 00:00:01.514169,0.9462737427470775,0.09600888612267523,3,288,2.173025098193839,5.811104405892048,0.48329025227921385,COMPLETE,0.3
10,0.003390708230938462,2024-10-26 15:54:36.018771,2024-10-26 15:54:36.600679,0 days 00:00:00.581908,0.9672826727380096,0.0999674608456472,3,115,2.590611996826576,9.528924705924318,0.23943945899237082,COMPLETE,0.3
11,0.00379319578391143,2024-10-26 15:54:36.601067,2024-10-26 15:54:37.110786,0 days 00:00:00.509719,0.9868412486027334,0.09438543292434294,3,105,2.5176968100645727,8.98560710024287,0.23269017511483409,PRUNED,0.3
12,0.0037331424026767882,2024-10-26 15:54:37.110936,2024-10-26 15:54:38.429665,0 days 00:00:01.318729,0.821278720343814,0.09456164733420103,4,278,0.1073020960790938,9.992763476533561,0.22945335316980878,PRUNED,0.3
13,0.0035378089642224223,2024-10-26 15:54:38.429783,2024-10-26 15:54:39.755175,0 days 00:00:01.325392,0.9869898234477984,0.050239570156918684,3,270,3.6964138187236792,7.036243619375099,0.3540192540932908,COMPLETE,0.3
14,0.0034577526885703445,2024-10-26 15:54:39.755347,2024-10-26 15:54:42.685659,0 days 00:00:02.930312,0.794732942734905,0.09837283231574218,5,465,1.6874576177221918,7.739543031191521,0.5133469906035311,COMPLETE,0.3
15,0.004002326561847756,2024-10-26 15:54:42.685831,2024-10-26 15:54:44.498142,0 days 00:00:01.812311,0.7112824776328381,0.06446420784274084,8,205,1.9314869389707097,5.78914050913664,0.7373673679132208,PRUNED,0.3
16,0.003368685910992314,2024-10-26 15:54:44.498380,2024-10-26 15:54:46.703357,0 days 00:00:02.204977,0.9102513754636546,0.04091482611945315,5,398,3.7585621241901874,8.610817561982522,0.3001939813968601,COMPLETE,0.3
17,0.0035970466729906567,2024-10-26 15:54:46.703586,2024-10-26 15:54:49.956088,0 days 00:00:03.252502,0.9019701805997279,0.03993178567218208,5,613,7.408510315265513,8.043099217113047,0.3366600732561619,PRUNED,0.3
18,0.0038364876489076732,2024-10-26 15:54:49.956214,2024-10-26 15:54:52.844778,0 days 00:00:02.888564,0.7413836264259622,0.030001718962629733,7,392,4.306176612517352,6.1613271238886345,0.521284132717813,PRUNED,0.3
19,0.003623333479532262,2024-10-26 15:54:52.844895,2024-10-26 15:54:55.816309,0 days 00:00:02.971414,0.5973014381570579,0.05372051209759324,5,490,5.554970669651146,4.293397259034359,0.4240174409959037,PRUNED,0.3
0,0.004743370540729464,2024-10-26 15:54:57.345642,2024-10-26 15:55:00.402739,0 days 00:00:03.057097,0.7762221349328446,0.08132228895211557,8,414,6.532475009549683,0.6125610580326244,0.34638036409040396,COMPLETE,0.4
1,0.004477350526484833,2024-10-26 15:55:00.402903,2024-10-26 15:55:08.524259,0 days 00:00:08.121356,0.2719279075116446,0.09609686560385235,9,981,4.78623918258995,7.859123886375573,0.3807938563974169,COMPLETE,0.4
2,0.004086412740563058,2024-10-26 15:55:08.524686,2024-10-26 15:55:09.948039,0 days 00:00:01.423353,0.7597534535475469,0.02081819883526237,6,210,7.79874728739741,5.599408720036891,0.7891055854975421,COMPLETE,0.4
3,0.0050243835585081645,2024-10-26 15:55:09.948226,2024-10-26 15:55:10.683048,0 days 00:00:00.734822,0.6774018240767972,0.012167038371393447,3,180,3.8517854673601257,2.9816722602913432,0.20954696433695208,COMPLETE,0.4
4,0.003719529544564084,2024-10-26 15:55:10.683222,2024-10-26 15:55:13.715505,0 days 00:00:03.032283,0.8429788358086534,0.04715322863419467,5,487,4.0510131535886575,1.5836317283737082,0.5078896666454761,COMPLETE,0.4
5,0.003994698594799787,2024-10-26 15:55:13.715673,2024-10-26 15:55:16.167694,0 days 00:00:02.452021,0.5131653729737227,0.019941657516688204,5,390,2.0926783186934474,3.8958888308056063,0.5129808943928931,COMPLETE,0.4
6,0.0039088849431922965,2024-10-26 15:55:16.167872,2024-10-26 15:55:18.135809,0 days 00:00:01.967937,0.5236426995270689,0.0685350853375004,7,290,5.74558053226486,0.3645867980658281,0.38079126638457333,COMPLETE,0.4
7,0.0048980860949466255,2024-10-26 15:55:18.135979,2024-10-26 15:55:23.879861,0 days 00:00:05.743882,0.9026591132370684,0.031724623712589654,9,626,7.087103572763873,1.7580445874472543,0.6908381880879517,PRUNED,0.4
8,0.003597748999417855,2024-10-26 15:55:23.879999,2024-10-26 15:55:25.501824,0 days 00:00:01.621825,0.8581427187200351,0.0970917026258731,3,308,6.151967940775068,4.765788057642775,0.42332356864280823,COMPLETE,0.4
9,0.0038229076542412067,2024-10-26 15:55:25.502009,2024-10-26 15:55:26.196562,0 days 00:00:00.694553,0.6925454020358558,0.0620651777470595,5,109,0.19469684099029536,7.573741463378094,0.6166104850106794,COMPLETE,0.4
10,0.0035713475090182268,2024-10-26 15:55:26.196730,2024-10-26 15:55:31.260477,0 days 00:00:05.063747,0.979564916976805,0.09909602787015177,3,696,9.574801754579081,5.762987863775841,0.9912006663074109,COMPLETE,0.4
11,0.0034155952154462585,2024-10-26 15:55:31.260643,2024-10-26 15:55:36.392232,0 days 00:00:05.131589,0.9892811557932408,0.09770801672843873,3,709,9.776757239931374,6.6352919836657245,0.9596177149924581,COMPLETE,0.4
12,0.003621500949193592,2024-10-26 15:55:36.392402,2024-10-26 15:55:41.356006,0 days 00:00:04.963604,0.9696781421326367,0.08216227141260521,3,728,9.55646978159523,9.820844705012602,0.9779668830520681,COMPLETE,0.4
13,0.0034111603275256168,2024-10-26 15:55:41.356180,2024-10-26 15:55:47.053878,0 days 00:00:05.697698,0.995737817416146,0.0808886714529536,4,809,9.888848755020366,6.547505748101943,0.9775896170974251,COMPLETE,0.4
14,0.004743860728419717,2024-10-26 15:55:47.054046,2024-10-26 15:55:52.922652,0 days 00:00:05.868606,0.3199643339304847,0.08045205005715238,4,867,8.255897582314194,7.239955567705825,0.8461771858489551,PRUNED,0.4
15,0.0031584210348423814,2024-10-26 15:55:52.922772,2024-10-26 15:55:58.138027,0 days 00:00:05.215255,0.9829088611077881,0.0541192008068169,4,810,9.77403524004759,9.358370809780002,0.8701508761171186,COMPLETE,0.4
16,0.003532218360795072,2024-10-26 15:55:58.138407,2024-10-26 15:56:03.763430,0 days 00:00:05.625023,0.5961066719248298,0.04724748912229792,4,850,8.434576148866514,9.819777224002582,0.8490121470642621,COMPLETE,0.4
