number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,quantile
10,0.0054233615587352185,2024-10-17 22:20:26.042006,2024-10-17 22:20:28.846878,0 days 00:00:02.804872,0.05803237238376969,0.813296263853183,0.09760573703013406,9,100,6.804476540547456,0.0013332495435055824,638,22,0.006714787731382815,0.6468626681416909,0.5083476083588561,7,COMPLETE,0.2
11,0.005362247886827081,2024-10-17 22:20:28.847155,2024-10-17 22:20:32.970910,0 days 00:00:04.123755,0.001474995005418574,0.9951847763157864,0.0596259824159062,17,63,8.948248320519156,0.35568262081942453,998,90,0.5039678480741094,0.04598467741050416,0.9756496110164269,7,COMPLETE,0.2
12,0.005626104411915409,2024-10-17 22:20:32.971175,2024-10-17 22:20:36.549515,0 days 00:00:03.578340,0.007137542889949662,0.8743047111757172,0.05408493560839085,10,58,8.881715888660807,0.526331420038566,812,81,0.5018012089537938,0.02295499997674111,0.9924430022386379,6,COMPLETE,0.2
13,0.004398795876901814,2024-10-17 22:20:36.549758,2024-10-17 22:20:57.374741,0 days 00:00:20.824983,0.0011741953923012514,0.9176434256410121,0.04172687958106417,20,5,7.017192776440718,0.175926487740392,797,197,0.14599403545364315,0.6170387312272063,0.628381412692941,4,COMPLETE,0.2
14,0.004809106258204648,2024-10-17 22:20:57.375206,2024-10-17 22:21:08.121801,0 days 00:00:10.746595,0.015124387328972536,0.7980930161089171,0.03828882971497458,20,98,6.703679576123552,0.0015674598039917553,764,190,0.128419811880171,0.6326797419375758,0.5870822983184639,4,COMPLETE,0.2
15,0.00490789554141245,2024-10-17 22:21:08.122063,2024-10-17 22:21:23.356715,0 days 00:00:15.234652,0.00985922370198709,0.8065221165894118,0.01710694661376847,19,66,7.054506848144563,0.000707930775550387,755,206,0.9697280217753161,0.6494175390136725,0.6532099857687045,4,COMPLETE,0.2
16,0.004767643851999995,2024-10-17 22:21:23.357009,2024-10-17 22:21:36.778707,0 days 00:00:13.421698,0.001547946891033711,0.5236072278340622,0.039140396377467995,20,49,7.402849065653978,0.16888909822902037,579,199,0.16028640640139485,0.6205436926084379,0.6285685766699772,3,COMPLETE,0.2
17,0.0045250418468523994,2024-10-17 22:21:36.778970,2024-10-17 22:21:55.554985,0 days 00:00:18.776015,0.0009053104684540021,0.5012146369447343,0.04135225600064519,17,5,7.970861783089952,0.1919256269101471,539,286,0.18897048097421265,0.7765939116661924,0.6485679617677508,2,COMPLETE,0.2
18,0.005043306576537171,2024-10-17 22:21:55.555244,2024-10-17 22:22:11.725499,0 days 00:00:16.170255,0.00044250476605249767,0.595713642099345,0.016854302762746066,17,5,5.626792939112738,0.2429047366496039,477,289,0.39982477137776823,0.771095135141882,0.7672936942998154,1,COMPLETE,0.2
19,0.0052224987128395165,2024-10-17 22:22:11.725743,2024-10-17 22:22:17.813941,0 days 00:00:06.088198,0.0005242725971120457,0.5001919667132908,0.04786098935836372,17,20,9.880025201484822,0.39417628755258804,522,300,0.6635339704798823,0.5055242381113523,0.5004840078419882,3,COMPLETE,0.2
0,0.004972376582969966,2024-10-17 22:24:36.749326,2024-10-17 22:24:38.560299,0 days 00:00:01.810973,0.009603752570154292,0.9917629346123744,0.028848633407388163,11,88,6.218420589592193,0.15222967431025924,129,106,0.10087978534337005,0.12717680536196507,0.9821000862991234,7,COMPLETE,0.3
1,0.006049356072764596,2024-10-17 22:24:38.560544,2024-10-17 22:24:39.436162,0 days 00:00:00.875618,0.0014499195163224145,0.6854204435528386,0.02488777171011273,3,7,3.962406113323136,0.37298436028915183,499,217,0.6792321325141167,0.6123459387862471,0.9671492797372766,1,COMPLETE,0.3
2,0.004841440927138325,2024-10-17 22:24:39.436392,2024-10-17 22:24:48.331896,0 days 00:00:08.895504,0.9094315443327166,0.976071242211455,0.01021855249353401,17,67,5.982831520603771,0.4916470479165804,614,214,0.19135801671578379,0.2517560956089192,0.7909436326123693,4,COMPLETE,0.3
3,0.00455269985140769,2024-10-17 22:24:48.332128,2024-10-17 22:24:51.682637,0 days 00:00:03.350509,0.007205992042135398,0.9468287616081712,0.0745411591214885,18,66,7.059964379347048,0.34236140811746374,491,275,0.4472981856832099,0.7505087845073837,0.9622320233173358,2,COMPLETE,0.3
4,0.004939012817700321,2024-10-17 22:24:51.682857,2024-10-17 22:24:54.716995,0 days 00:00:03.034138,0.024626043969887525,0.7900113090569958,0.05175911005623283,8,9,5.224434879822171,0.6121811098755682,470,69,0.6796733534758163,0.46768335919120274,0.7208049566285122,10,COMPLETE,0.3
